root@comp3134-Winter2025:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
02:01:50.592482 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 422535523:422535607, ack 1815927605, win 501, length 84
02:01:50.593691 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 84:192, ack 1, win 501, length 108
02:01:50.593762 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 192:228, ack 1, win 501, length 36
02:01:50.593812 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 228:280, ack 1, win 501, length 52
02:01:50.593857 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 280:348, ack 1, win 501, length 68
02:01:50.593920 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 348:416, ack 1, win 501, length 68
02:01:50.593941 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 416:452, ack 1, win 501, length 36
02:01:50.601569 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 452, win 1024, length 0
02:01:50.691444 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 452:624, ack 1, win 501, length 172
02:01:50.691514 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 624:660, ack 1, win 501, length 36
02:01:50.691563 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 660:808, ack 1, win 501, length 148
02:01:50.691593 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 808:844, ack 1, win 501, length 36
02:01:50.691645 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 844:992, ack 1, win 501, length 148
02:01:50.691720 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 992:1176, ack 1, win 501, length 184
02:01:50.691781 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 1176:1360, ack 1, win 501, length 184
02:01:50.691803 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 1360:1396, ack 1, win 501, length 36
02:01:50.691856 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 1396:1544, ack 1, win 501, length 148
02:01:50.691887 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 1544:1580, ack 1, win 501, length 36
02:01:50.691928 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 1580:1728, ack 1, win 501, length 148
02:01:50.692249 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 1728:1896, ack 1, win 501, length 168
02:01:50.692335 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 1896:1932, ack 1, win 501, length 36
02:01:50.701916 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 1896, win 1026, length 0
02:01:50.743980 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 1932, win 1026, length 0
02:01:50.795302 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 1932:2080, ack 1, win 501, length 148
02:01:50.795388 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 2080:2264, ack 1, win 501, length 184
02:01:50.795441 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 2264:2300, ack 1, win 501, length 36
02:01:50.795485 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 2300:2448, ack 1, win 501, length 148
02:01:50.795516 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 2448:2484, ack 1, win 501, length 36
02:01:50.795555 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 2484:2632, ack 1, win 501, length 148
02:01:50.795583 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 2632:2668, ack 1, win 501, length 36
02:01:50.795647 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 2668:2816, ack 1, win 501, length 148
02:01:50.795721 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 2816:3000, ack 1, win 501, length 184
02:01:50.795762 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3000:3036, ack 1, win 501, length 36
02:01:50.795818 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3036:3184, ack 1, win 501, length 148
02:01:50.795890 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3184:3368, ack 1, win 501, length 184
02:01:50.795928 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3368:3404, ack 1, win 501, length 36
02:01:50.795977 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3404:3552, ack 1, win 501, length 148
02:01:50.796193 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3552:3588, ack 1, win 501, length 36
02:01:50.796308 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3588:3736, ack 1, win 501, length 148
02:01:50.796345 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3736:3772, ack 1, win 501, length 36
02:01:50.796386 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3772:3920, ack 1, win 501, length 148
02:01:50.796413 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3920:3956, ack 1, win 501, length 36
02:01:50.796450 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 3956:4104, ack 1, win 501, length 148
02:01:50.796478 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4104:4140, ack 1, win 501, length 36
02:01:50.796513 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4140:4288, ack 1, win 501, length 148
02:01:50.796552 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4288:4324, ack 1, win 501, length 36
02:01:50.796605 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4324:4464, ack 1, win 501, length 140
02:01:50.796645 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4464:4500, ack 1, win 501, length 36
02:01:50.796695 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4500:4640, ack 1, win 501, length 140
02:01:50.796724 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4640:4676, ack 1, win 501, length 36
02:01:50.806928 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 1932, win 1026, options [nop,nop,sack 1 {2080:2264}], length 0
02:01:50.808587 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 1932, win 1026, options [nop,nop,sack 1 {2080:2300}], length 0
02:01:50.808587 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 2300, win 1025, length 0
02:01:50.808587 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 4640, win 1026, length 0
02:01:50.808588 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 4676, win 1026, length 0
02:01:50.899328 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4676:4824, ack 1, win 501, length 148
02:01:50.899406 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 4824:5008, ack 1, win 501, length 184
02:01:50.899479 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5008:5192, ack 1, win 501, length 184
02:01:50.899499 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5192:5228, ack 1, win 501, length 36
02:01:50.899538 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5228:5376, ack 1, win 501, length 148
02:01:50.899588 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5376:5412, ack 1, win 501, length 36
02:01:50.899642 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5412:5560, ack 1, win 501, length 148
02:01:50.899673 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5560:5596, ack 1, win 501, length 36
02:01:50.899715 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5596:5744, ack 1, win 501, length 148
02:01:50.899745 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5744:5780, ack 1, win 501, length 36
02:01:50.899788 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5780:5928, ack 1, win 501, length 148
02:01:50.899817 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5928:5964, ack 1, win 501, length 36
02:01:50.899856 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 5964:6112, ack 1, win 501, length 148
02:01:50.899897 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6112:6148, ack 1, win 501, length 36
02:01:50.899955 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6148:6296, ack 1, win 501, length 148
02:01:50.900003 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6296:6332, ack 1, win 501, length 36
02:01:50.900287 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6332:6480, ack 1, win 501, length 148
02:01:50.900333 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6480:6516, ack 1, win 501, length 36
02:01:50.900393 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6516:6664, ack 1, win 501, length 148
02:01:50.900451 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6664:6848, ack 1, win 501, length 184
02:01:50.900472 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6848:6884, ack 1, win 501, length 36
02:01:50.900528 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 6884:7032, ack 1, win 501, length 148
02:01:50.900563 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7032:7068, ack 1, win 501, length 36
02:01:50.900611 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7068:7216, ack 1, win 501, length 148
02:01:50.900654 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7216:7252, ack 1, win 501, length 36
02:01:50.900705 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7252:7400, ack 1, win 501, length 148
02:01:50.900780 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7400:7584, ack 1, win 501, length 184
02:01:50.900825 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7584:7620, ack 1, win 501, length 36
02:01:50.900878 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7620:7768, ack 1, win 501, length 148
02:01:50.900926 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7768:7804, ack 1, win 501, length 36
02:01:50.900961 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7804:7952, ack 1, win 501, length 148
02:01:50.901032 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 7952:8136, ack 1, win 501, length 184
02:01:50.901082 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 8136:8320, ack 1, win 501, length 184
02:01:50.901105 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 8320:8356, ack 1, win 501, length 36
02:01:50.901141 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 8356:8504, ack 1, win 501, length 148
02:01:50.901190 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 8504:8688, ack 1, win 501, length 184
02:01:50.901308 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 8688:9092, ack 1, win 501, length 404
02:01:50.901345 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 9092:9240, ack 1, win 501, length 148
